symbol,date,change,action
DTV,05/16/2013,9.512743298,increase
DVA,05/16/2013,10.03804765,increase
GD,05/16/2013,-100,decrease
IBM,05/16/2013,0.009542617,increase
KRFT,05/16/2013,-3.994273435,decrease
LMCA,05/16/2013,60.82750932,new
MDLZ,05/16/2013,-45.07396548,decrease
NOV,05/16/2013,41.35189242,increase
USB,05/16/2013,0.315843076,increase
VRSN,05/16/2013,121.7787666,increase
WBC,05/16/2013,0.108057,increase
WMT,05/16/2013,3.675809583,increase
BK,08/15/2013,30.12238956,increase
CBI,08/15/2013,46.74054328,increase
DISH,08/15/2013,4.252201289,new
gm,08/15/2013,60,increase
GSK,08/15/2013,-2.282621648,decrease
KRFT,08/15/2013,-87.97386616,decrease
MDLZ,08/15/2013,-91.80461522,decrease
NOV,08/15/2013,18.64837059,increase
SU,08/15/2013,95.74779871,new
USB,08/15/2013,27.36693735,increase
VRSN,08/15/2013,33.31645074,increase
