Date,Open,High,Low,Close,Volume,Adj Close
31/08/2012,141.29,141.82,140.36,141.16,151970400,137.4
04/09/2012,141.04,141.46,140.13,141.03,120226200,137.28
05/09/2012,141.09,141.47,140.63,140.91,100660300,137.16
06/09/2012,141.76,143.78,141.75,143.77,158272500,139.94
07/09/2012,144.01,144.39,143.88,144.33,107272100,140.49
10/09/2012,144.19,144.44,143.46,143.51,86458500,139.69
11/09/2012,143.6,144.37,143.56,143.91,88760000,140.08
12/09/2012,144.39,144.55,143.9,144.39,87640900,140.55
13/09/2012,144.37,147.04,143.99,146.59,225470200,142.69
14/09/2012,146.88,148.11,146.76,147.24,169777000,143.32
17/09/2012,146.94,147.19,146.37,146.74,119427800,142.84
18/09/2012,146.49,146.81,146.25,146.62,98326600,142.72
19/09/2012,146.79,147.17,146.41,146.7,128318300,142.8
20/09/2012,146.03,146.79,145.63,146.71,154009800,142.81
21/09/2012,146.64,146.67,145.81,145.87,108737500,142.75
24/09/2012,145.15,145.98,145.04,145.65,95682000,142.53
25/09/2012,145.96,146.24,144.06,144.1,133165200,141.01
26/09/2012,144.07,144.11,142.95,143.29,146502200,140.22
27/09/2012,143.89,144.97,143.51,144.64,111830300,141.54
28/09/2012,144.09,144.56,143.46,143.97,150696100,140.89
01/10/2012,144.52,145.69,144.01,144.35,135911200,141.26
02/10/2012,144.92,145.15,143.83,144.5,113422200,141.41
03/10/2012,144.89,145.43,144.13,145.09,121283100,141.98
04/10/2012,145.64,146.34,145.44,146.13,124311600,143
05/10/2012,146.91,147.16,145.7,146.14,124842100,143.01
08/10/2012,145.6,146.12,145.31,145.64,78415400,142.52
09/10/2012,145.53,145.65,144.15,144.2,148872900,141.11
10/10/2012,144.18,144.32,143.09,143.28,124247500,140.21
11/10/2012,144.28,144.49,143.33,143.36,123601500,140.29
12/10/2012,143.46,143.95,142.58,142.89,124181900,139.83
15/10/2012,143.23,144.23,142.77,144.08,107689100,140.99
16/10/2012,144.76,145.64,144.66,145.54,108815500,142.42
17/10/2012,145.64,146.32,145.42,146.2,128834100,143.07
18/10/2012,145.82,146.52,145.33,145.82,148108500,142.7
19/10/2012,145.55,145.56,143.05,143.39,185645200,140.32
22/10/2012,143.15,143.67,142.28,143.41,125578600,140.34
23/10/2012,141.86,142.06,140.83,141.42,192056300,138.39
24/10/2012,141.93,142.1,140.8,141.02,120179400,138
25/10/2012,142.02,142.28,140.57,141.43,134457400,138.4
26/10/2012,141.3,141.84,140.39,141.35,146023500,138.32
31/10/2012,141.85,142.03,140.68,141.35,103438500,138.32
01/11/2012,141.65,143.01,141.52,142.83,100995600,139.77
02/11/2012,143.68,143.72,141.41,141.56,137702200,138.53
05/11/2012,141.35,142.17,140.93,141.85,98378500,138.81
06/11/2012,142.28,143.52,142.13,142.96,107068100,139.9
07/11/2012,141.66,141.68,139.06,139.72,264304500,136.73
08/11/2012,139.7,140.41,137.93,138.04,181517300,135.08
09/11/2012,137.62,139.44,137.55,138.16,201055300,135.2
12/11/2012,138.59,138.81,137.96,138.27,97677500,135.31
13/11/2012,137.54,139.25,137.36,137.79,123018300,134.84
14/11/2012,138.21,138.43,135.62,135.93,191505000,133.02
15/11/2012,135.98,136.49,135.18,135.7,178128400,132.79
16/11/2012,135.9,136.64,134.7,136.37,239483900,133.45
19/11/2012,137.9,139.15,136.41,139.13,151495800,136.15
20/11/2012,138.91,139.42,138.08,139.19,119807400,136.21
21/11/2012,139.31,139.57,139.03,139.45,81710800,136.46
23/11/2012,140.13,141.4,140.04,141.35,65409200,138.32
26/11/2012,140.65,141.36,140.19,141.05,100124400,138.03
27/11/2012,140.91,141.39,140.24,140.33,128646200,137.33
28/11/2012,139.76,141.54,139,141.46,177086500,138.43
29/11/2012,141.99,142.51,141.37,142.12,151085900,139.08
30/11/2012,142.14,142.42,141.66,142.15,136568300,139.11
03/12/2012,142.8,142.92,141.34,141.45,124656300,138.42
04/12/2012,141.44,141.87,140.87,141.25,127512200,138.23
05/12/2012,141.37,142.16,140.37,141.5,147300500,138.47
06/12/2012,141.37,142.04,141.16,141.98,103220600,138.94
07/12/2012,142.53,142.69,141.67,142.41,108726400,139.36
10/12/2012,142.21,142.81,142.15,142.47,98840700,139.42
11/12/2012,143.06,144.11,142.99,143.44,152570400,140.37
12/12/2012,144,144.55,143.31,143.51,145880100,140.44
13/12/2012,143.42,143.83,142.27,142.63,135715000,139.58
14/12/2012,142.32,142.58,141.88,142.1,137701700,139.06
17/12/2012,142.47,143.85,142.43,143.77,143238200,140.69
18/12/2012,144,145.5,143.79,145.37,177762800,142.26
19/12/2012,145.53,145.58,144.24,144.29,150895400,141.2
20/12/2012,144.38,145.14,143.98,145.12,168487000,142.01
21/12/2012,142.17,144.09,141.94,142.79,245883800,140.72
24/12/2012,142.48,142.56,142.19,142.35,53874600,140.29
26/12/2012,142.64,142.71,141.35,141.75,106947700,139.7
27/12/2012,141.79,142.08,139.92,141.56,167920600,139.51
28/12/2012,140.64,141.42,139.87,140.03,148806700,138
31/12/2012,139.66,142.56,139.54,142.41,243935200,140.35
02/01/2013,145.11,146.15,144.73,146.06,192059000,143.95
03/01/2013,145.99,146.37,145.34,145.73,144761800,143.62
04/01/2013,145.97,146.61,145.67,146.37,116817700,144.25
07/01/2013,145.85,146.11,145.43,145.97,110002500,143.86
08/01/2013,145.71,145.91,144.98,145.55,121265100,143.44
09/01/2013,145.87,146.32,145.64,145.92,90745600,143.81
10/01/2013,146.73,147.09,145.97,147.08,130735400,144.95
11/01/2013,147.04,147.15,146.61,147.07,113917300,144.94
14/01/2013,146.89,147.07,146.43,146.97,89567200,144.84
15/01/2013,146.29,147.21,146.2,147.07,93172600,144.94
16/01/2013,146.77,147.28,146.61,147.05,104849500,144.92
17/01/2013,147.7,148.42,147.15,148,133833500,145.86
18/01/2013,147.97,148.49,147.43,148.33,169906000,146.18
22/01/2013,148.33,149.13,147.98,149.13,111797300,146.97
23/01/2013,149.13,149.5,148.86,149.37,104596100,147.21
24/01/2013,149.15,150.14,149.01,149.41,146426400,147.25
25/01/2013,149.88,150.25,149.37,150.25,147211600,148.08
28/01/2013,150.29,150.33,149.51,150.07,113357700,147.9
29/01/2013,149.77,150.85,149.67,150.66,105694400,148.48
30/01/2013,150.64,150.94,149.93,150.07,137447700,147.9
31/01/2013,149.89,150.38,149.6,149.7,108975800,147.53
01/02/2013,150.65,151.42,150.39,151.24,131173000,149.05
04/02/2013,150.32,151.27,149.43,149.54,159073600,147.38
05/02/2013,150.35,151.48,150.29,151.05,113912400,148.86
06/02/2013,150.52,151.26,150.41,151.16,138762800,148.97
07/02/2013,151.21,151.35,149.86,150.96,162490000,148.78
08/02/2013,151.22,151.89,151.22,151.8,103133700,149.6
11/02/2013,151.74,151.9,151.39,151.77,73775000,149.57
12/02/2013,151.78,152.3,151.61,152.02,65392700,149.82
13/02/2013,152.33,152.61,151.72,152.15,82322600,149.95
14/02/2013,151.69,152.47,151.52,152.29,80834300,150.09
15/02/2013,152.43,152.59,151.55,152.11,215226500,149.91
19/02/2013,152.37,153.28,152.16,153.25,95105400,151.03
20/02/2013,153.14,153.19,151.26,151.34,160574800,149.15
21/02/2013,150.96,151.42,149.94,150.42,183257000,148.24
22/02/2013,151.15,151.89,150.49,151.89,106356600,149.69
25/02/2013,152.63,152.86,149,149,245824800,146.84
26/02/2013,149.72,150.2,148.73,150.02,186596200,147.85
27/02/2013,149.89,152.33,149.76,151.91,150781900,149.71
28/02/2013,151.9,152.87,151.41,151.61,126866000,149.42
01/03/2013,151.09,152.34,150.41,152.11,170634800,149.91
04/03/2013,151.76,152.92,151.52,152.92,99010200,150.71
05/03/2013,153.66,154.7,153.64,154.29,121431900,152.06
06/03/2013,154.84,154.92,154.16,154.5,94469900,152.26
07/03/2013,154.7,154.98,154.52,154.78,86101400,152.54
08/03/2013,155.46,155.65,154.66,155.44,123477800,153.19
11/03/2013,155.32,156.04,155.13,156.03,83746800,153.77
12/03/2013,155.92,156.1,155.21,155.68,105755800,153.43
13/03/2013,155.76,156.12,155.23,155.9,92550900,153.64
14/03/2013,156.31,156.8,155.91,156.73,126329900,154.46
15/03/2013,155.85,156.04,155.31,155.83,138601100,154.26
18/03/2013,154.34,155.64,154.2,154.97,126704300,153.41
19/03/2013,155.3,155.51,153.59,154.61,167567300,153.05
20/03/2013,155.52,155.95,155.26,155.69,113759300,154.12
21/03/2013,154.76,155.64,154.1,154.36,128605000,152.8
22/03/2013,154.85,155.6,154.73,155.6,111163600,154.03
25/03/2013,156.01,156.27,154.35,154.95,151322300,153.39
26/03/2013,155.59,156.23,155.42,156.19,86856600,154.61
27/03/2013,155.26,156.24,155,156.19,99950600,154.61
28/03/2013,156.09,156.85,155.75,156.67,102932800,155.09
01/04/2013,156.59,156.91,155.67,156.05,99194100,154.48
02/04/2013,156.61,157.21,156.37,156.82,101504300,155.24
03/04/2013,156.91,157.03,154.82,155.23,154167400,153.66
04/04/2013,155.43,156.17,155.09,155.86,131885000,154.29
05/04/2013,153.95,155.35,153.77,155.16,159666000,153.59
08/04/2013,155.27,156.22,154.75,156.21,86571200,154.63
09/04/2013,156.5,157.32,155.98,156.75,101922200,155.17
10/04/2013,157.17,158.87,157.13,158.67,135711100,157.07
11/04/2013,158.7,159.71,158.54,159.19,110142500,157.58
12/04/2013,158.68,159.04,157.92,158.8,116359900,157.2
15/04/2013,158,158.13,155.1,155.12,217259000,153.56
16/04/2013,156.29,157.49,155.91,157.41,147507800,155.82
17/04/2013,156.29,156.32,154.28,155.11,226834800,153.55
18/04/2013,155.37,155.41,153.55,154.14,167583200,152.58
19/04/2013,154.5,155.55,154.12,155.48,149687600,153.91
22/04/2013,155.78,156.54,154.75,156.17,106553500,154.59
23/04/2013,156.95,157.93,156.17,157.78,166141300,156.19
24/04/2013,157.83,158.3,157.54,157.88,96781200,156.29
25/04/2013,158.34,159.27,158.1,158.52,131060600,156.92
26/04/2013,158.33,158.6,157.73,158.24,95918800,156.64
29/04/2013,158.67,159.65,158.42,159.3,88572800,157.69
30/04/2013,159.27,159.72,158.61,159.68,116010700,158.07
01/05/2013,159.33,159.41,158.1,158.28,138874200,156.68
02/05/2013,158.68,159.89,158.53,159.75,96407600,158.14
03/05/2013,161.14,161.88,159.78,161.37,144202300,159.74
06/05/2013,161.49,162.01,161.42,161.78,66882100,160.15
07/05/2013,162.13,162.65,161.67,162.6,90359200,160.96
08/05/2013,162.42,163.39,162.33,163.34,97419200,161.69
09/05/2013,163.27,163.7,162.47,162.88,106738600,161.24
10/05/2013,162.99,163.55,162.51,163.41,103203000,161.76
13/05/2013,163.2,163.81,162.82,163.54,81843200,161.89
14/05/2013,163.67,165.35,163.67,165.23,119000900,163.56
15/05/2013,164.96,166.45,164.91,166.12,120718500,164.44
16/05/2013,165.78,166.36,165.09,165.34,109913600,163.67
17/05/2013,165.95,167.04,165.73,166.94,129801000,165.26
20/05/2013,166.78,167.58,166.61,166.93,85071200,165.25
21/05/2013,167.08,167.8,166.5,167.17,95804200,165.48
22/05/2013,167.34,169.07,165.17,165.93,244031800,164.26
23/05/2013,164.16,165.91,163.94,165.45,211064400,163.78
24/05/2013,164.47,165.38,163.98,165.31,151573900,163.64
28/05/2013,167.04,167.78,165.81,166.3,143679800,164.62
29/05/2013,165.42,165.8,164.34,165.22,160363400,163.55
30/05/2013,165.35,166.59,165.22,165.83,107793800,164.16
31/05/2013,165.37,166.31,163.13,163.45,176850100,161.8
03/06/2013,163.83,164.46,162.66,164.35,168390700,162.69
04/06/2013,164.44,165.1,162.73,163.56,157631500,161.91
05/06/2013,163.09,163.42,161.13,161.27,211737800,159.64
06/06/2013,161.2,162.74,160.25,162.73,200225500,161.09
07/06/2013,163.85,164.95,163.14,164.8,188337800,163.14
10/06/2013,165.31,165.4,164.37,164.8,105667100,163.14
11/06/2013,163.3,164.54,162.74,163.1,159505400,161.45
12/06/2013,164.22,164.39,161.6,161.75,177361500,160.12
13/06/2013,161.66,164.5,161.3,164.21,163587800,162.55
14/06/2013,164.03,164.67,162.91,163.18,141197500,161.53
17/06/2013,164.29,165.22,163.22,164.44,136295600,162.78
18/06/2013,164.53,165.99,164.52,165.74,114695600,164.07
19/06/2013,165.6,165.89,163.38,163.45,206149500,161.8
20/06/2013,161.86,163.47,158.98,159.4,321255900,157.79
21/06/2013,159.64,159.76,157.47,159.07,271956800,158.3
24/06/2013,157.41,158.43,155.73,157.06,222329000,156.3
25/06/2013,158.48,160.1,157.42,158.57,162262200,157.8
26/06/2013,159.87,160.5,159.25,160.14,134848000,159.36
27/06/2013,161.1,161.82,160.95,161.08,129483700,160.3
28/06/2013,160.63,161.4,159.86,160.42,160402900,159.64
01/07/2013,161.26,162.48,161.08,161.36,131954800,160.58
02/07/2013,161.12,162.3,160.5,161.21,154863700,160.43
03/07/2013,160.48,161.77,160.22,161.28,75216400,160.5
05/07/2013,162.47,163.08,161.3,163.02,122416900,162.23
08/07/2013,163.86,164.39,163.08,163.95,108092500,163.15
09/07/2013,164.98,165.33,164.27,165.13,119298000,164.33
10/07/2013,164.97,165.75,164.63,165.19,121410100,164.39
11/07/2013,167.11,167.61,165.18,167.44,135592200,166.63
12/07/2013,167.39,167.93,167.13,167.51,104212700,166.7
15/07/2013,167.97,168.39,167.68,168.15,69450600,167.33
16/07/2013,168.26,168.36,167.07,167.52,88702100,166.71
17/07/2013,168.16,168.48,167.73,167.95,92873900,167.14
18/07/2013,168.31,169.27,168.2,168.87,103620100,168.05
19/07/2013,168.52,169.23,168.31,169.17,103831700,168.35
22/07/2013,169.41,169.74,169.01,169.5,79428600,168.68
23/07/2013,169.8,169.83,169.05,169.14,80829700,168.32
24/07/2013,169.79,169.86,168.18,168.52,112914000,167.7
25/07/2013,168.22,169.08,167.94,168.93,111088600,168.11
26/07/2013,168.22,169.16,167.52,169.11,107814600,168.29
29/07/2013,168.68,169.06,168.11,168.59,79695000,167.77
30/07/2013,169.1,169.28,168.19,168.59,85209600,167.77
31/07/2013,168.94,169.85,168.49,168.71,142388700,167.89
01/08/2013,169.99,170.81,169.9,170.66,110438400,169.83
02/08/2013,170.28,170.97,170.05,170.95,91116700,170.12
05/08/2013,170.57,170.96,170.35,170.7,54072700,169.87
06/08/2013,170.37,170.74,169.35,169.73,87495000,168.91
07/08/2013,169.19,169.43,168.55,169.18,84854700,168.36
08/08/2013,169.98,170.18,168.93,169.8,102181300,168.98
09/08/2013,169.58,170.1,168.72,169.31,91757700,168.49
12/08/2013,168.46,169.31,168.38,169.11,68593300,168.29
13/08/2013,169.41,169.9,168.41,169.61,80806000,168.79
14/08/2013,169.53,169.8,168.7,168.74,79829200,167.92
15/08/2013,167.41,167.43,166.09,166.38,152931800,165.57
16/08/2013,166.06,166.63,165.5,165.83,130868200,165.03
19/08/2013,165.64,166.21,164.76,164.77,96437600,163.97
20/08/2013,165.04,166.2,164.86,165.58,89294400,164.78
21/08/2013,165.12,166.03,164.19,164.56,159530500,163.76
22/08/2013,164.9,166.3,164.89,166.06,101471400,165.25
23/08/2013,166.55,166.83,165.77,166.62,90888900,165.81
26/08/2013,166.79,167.3,165.89,166,89702100,165.19
27/08/2013,164.36,166,163.21,163.33,158619400,162.54
28/08/2013,163.26,164.49,163.05,163.91,108113000,163.11
29/08/2013,163.55,165.04,163.4,164.17,119200500,163.37
30/08/2013,164.51,164.53,163.17,163.65,134928900,162.86
03/09/2013,165.23,165.58,163.7,164.39,142375100,163.59
04/09/2013,164.43,166.03,164.13,165.75,97389400,164.95
05/09/2013,165.85,166.4,165.73,165.96,63090500,165.15
06/09/2013,166.51,166.98,164.48,166.04,159756500,165.23
09/09/2013,166.45,167.73,166.45,167.63,87559300,166.82
10/09/2013,168.64,168.9,168.26,168.87,105847200,168.05
11/09/2013,168.64,169.4,168.35,169.4,94545900,168.58
12/09/2013,169.34,169.56,168.72,168.95,83209000,168.13
13/09/2013,169.13,169.46,168.74,169.33,72727800,168.51
16/09/2013,171.16,171.24,170.04,170.31,106299200,169.48
17/09/2013,170.46,171.11,170.46,171.07,82523300,170.24
18/09/2013,171.01,173.52,170.58,173.05,203460600,172.21
19/09/2013,173.52,173.6,172.59,172.76,146616900,171.92
20/09/2013,172.33,172.33,170.58,170.72,132867100,170.72
23/09/2013,170.49,170.65,169.39,169.93,104616500,169.93
24/09/2013,169.9,170.53,169.21,169.53,106333100,169.53
25/09/2013,169.64,169.98,168.89,169.04,117306500,169.04
26/09/2013,169.32,170.17,169.05,169.69,77146900,169.69
27/09/2013,168.84,169.14,168.47,168.91,99141800,168.91
30/09/2013,167.48,168.54,167.15,168.01,143937000,168.01
01/10/2013,168.14,169.5,167.97,169.34,127160000,169.34
02/10/2013,168.35,169.34,167.83,169.18,112756100,169.18
03/10/2013,168.79,168.94,166.84,167.62,176521200,167.62
04/10/2013,167.75,169.06,167.53,168.89,96614800,168.89
07/10/2013,167.42,168.45,167.25,167.43,96033200,167.43
08/10/2013,167.4,167.62,165.36,165.48,176573300,165.48
09/10/2013,165.8,166.2,164.53,165.6,168208100,165.6
10/10/2013,167.29,169.26,167.23,169.17,192471700,169.17
11/10/2013,168.91,170.32,168.77,170.26,104956900,170.26
